Node,X coord,Y coord
267028,24.03892,56.83325
267029,24.03896,56.83315
267030,24.03904,56.83306
267031,24.03915,56.83299
267032,24.03923,56.83295
267033,24.03935,56.83291
267034,24.03949,56.83288
267035,24.03962,56.83287
267036,24.03977,56.83287
267037,24.03993,56.83289
267038,24.04002,56.83291
267039,24.04015,56.83295
267040,24.04029,56.83302
267041,24.0404,56.83311
267042,24.04046,56.8332
267043,24.04049,56.8333
267044,24.04047,56.8334
267045,24.04044,56.83349
267046,24.0404,56.83358
267047,24.04033,56.83371
268177,24.15011,57.02305
268178,24.15004,57.02312
268179,24.15,57.02324
268180,24.15001,57.02337
268408,25.4229,57.53795
268409,25.42295,57.53795
268410,25.42301,57.53796
268411,25.42306,57.53798
268412,25.42309,57.53801
268413,25.4231,57.53804
268414,25.4231,57.53806
269575,26.2022,56.84051
269576,26.20211,56.84055
269577,26.20202,56.84058
269578,26.20193,56.8406
269579,26.20179,56.84062
270243,24.61197,56.80558
270929,21.05363,56.53847
270930,21.05369,56.53849
270931,21.05375,56.5385
270932,21.05382,56.5385
270933,21.05389,56.53849
271308,27.41848,56.68681
274744,24.31948,57.07583
274745,24.31948,57.07587
274746,24.3195,57.0759
274747,24.31955,57.07593
274748,24.31962,57.07595
275558,24.15327,57.01414
275559,24.15329,57.01421
277833,26.89938,56.17314
277834,26.89954,56.17314
279394,25.35369,57.50458
279559,21.01807,56.48832
279560,21.01808,56.48838
279561,21.0181,56.48845
279562,21.01822,56.48863
283036,24.24159,56.9852
283037,24.24162,56.98515
283038,24.24168,56.98513
283039,24.24188,56.98515
283040,24.24192,56.98519
283041,24.24193,56.98523
283042,24.24174,56.98559
283718,25.41881,57.54279
283719,25.41888,57.54283
283720,25.419,57.54286
283721,25.41913,57.54288
284150,26.19574,56.84659
284525,24.18756,56.40722
284526,24.18749,56.40725
284527,24.18744,56.40726
284528,24.18736,56.40727
284529,24.18728,56.40727
284530,24.18721,56.40726
284531,24.18717,56.40725
284532,24.18712,56.40723
287655,24.94227,57.02138
287656,24.94235,57.02143
287657,24.94242,57.02146
287658,24.94252,57.02149
287659,24.94262,57.02151
287660,24.94274,57.02152
